state,response,coverage,education,employmentstatus,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_type,policy_level
Washington,No,1,Bachelor,Employed,F,Suburban,Married,1,Agent,Two-Door Car,2,C,3
Arizona,No,2,Bachelor,Unemployed,F,Suburban,Single,3,Agent,Four-Door Car,2,P,3
Nevada,No,3,Bachelor,Employed,F,Suburban,Married,1,Agent,Two-Door Car,2,P,3
California,No,1,Bachelor,Unemployed,M,Suburban,Married,1,Call Center,SUV,2,C,2
Washington,No,1,Bachelor,Employed,M,Rural,Single,1,Agent,Four-Door Car,2,P,1
Oregon,Yes,1,Bachelor,Employed,F,Rural,Married,2,Web,Two-Door Car,2,P,3
Oregon,Yes,1,College,Employed,F,Suburban,Married,1,Agent,Four-Door Car,2,C,3
Arizona,No,3,Master and Above,Unemployed,M,Urban,Single,1,Agent,Four-Door Car,2,C,3
Oregon,Yes,1,Bachelor,Other,M,Suburban,Single,1,Agent,Four-Door Car,2,C,3
Oregon,No,2,College,Employed,F,Urban,Married,2,Branch,Four-Door Car,2,S,2
California,No,1,College,Unemployed,M,Suburban,Single,1,Agent,Four-Door Car,1,P,3
California,No,1,College,Unemployed,F,Suburban,Married,2,Agent,SUV,2,P,3
California,No,3,Master and Above,Employed,M,Urban,Married,2,Agent,Four-Door Car,2,C,1
Arizona,Yes,1,High School or Below,Employed,M,Suburban,Married,2,Branch,SUV,2,C,3
California,No,1,College,Employed,M,Urban,Single,4,Call Center,Four-Door Car,2,C,3
Oregon,No,1,Bachelor,Employed,F,Rural,Married,2,Branch,Four-Door Car,2,C,2
Nevada,No,1,High School or Below,Other,M,Suburban,Married,2,Call Center,Two-Door Car,2,P,3
California,No,1,College,Other,M,Suburban,Married,3,Call Center,SUV,2,P,2
Oregon,No,1,College,Employed,M,Urban,Married,2,Branch,Four-Door Car,2,P,2
California,No,3,High School or Below,Employed,F,Suburban,Married,1,Call Center,Four-Door Car,1,C,2
Oregon,No,1,High School or Below,Employed,M,Suburban,Single,1,Branch,Two-Door Car,2,P,2
Washington,No,2,Bachelor,Other,F,Suburban,Single,4,Call Center,Four-Door Car,2,P,3
Arizona,Yes,1,Bachelor,Other,M,Suburban,Single,1,Agent,Four-Door Car,2,P,3
Nevada,No,1,Bachelor,Unemployed,F,Suburban,Single,1,Branch,Four-Door Car,2,C,3
California,No,1,Bachelor,Other,F,Suburban,Married,2,Branch,Four-Door Car,2,C,2
Oregon,No,1,College,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,3,P,3
California,No,3,Bachelor,Unemployed,F,Suburban,Single,1,Agent,Four-Door Car,1,P,3
Washington,No,2,Master and Above,Other,F,Urban,Married,1,Branch,SUV,2,C,1
Arizona,No,3,College,Employed,F,Suburban,Single,1,Call Center,Four-Door Car,3,P,3
Oregon,No,2,Master and Above,Employed,F,Suburban,Married,2,Branch,Four-Door Car,1,P,3
Arizona,No,1,College,Employed,M,Suburban,Married,4,Call Center,Four-Door Car,1,P,2
Nevada,No,2,High School or Below,Employed,M,Urban,Married,2,Agent,Luxury Car,2,C,2
California,No,1,Bachelor,Unemployed,M,Urban,Married,1,Call Center,Four-Door Car,2,P,3
Washington,No,1,Bachelor,Employed,M,Suburban,Married,1,Agent,Two-Door Car,1,C,2
Oregon,No,1,Bachelor,Employed,F,Rural,Married,3,Web,Four-Door Car,2,C,1
Arizona,No,1,High School or Below,Employed,F,Urban,Married,1,Branch,Four-Door Car,2,P,1
California,No,3,Bachelor,Employed,M,Suburban,Married,1,Agent,Four-Door Car,1,P,3
Oregon,No,2,Master and Above,Employed,F,Suburban,Married,2,Web,Four-Door Car,1,P,3
Oregon,No,2,Bachelor,Unemployed,M,Suburban,Single,3,Agent,Two-Door Car,1,P,2
Arizona,No,1,High School or Below,Employed,M,Rural,Single,1,Call Center,Four-Door Car,2,P,3
Nevada,No,1,High School or Below,Unemployed,F,Suburban,Married,3,Call Center,Two-Door Car,2,C,3
Oregon,Yes,1,College,Employed,F,Rural,Single,2,Agent,Two-Door Car,2,C,3
